DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH
1.00,0.00,0.00,21030.00,0.00,CI,China Airlines Ltd.,LAX,NRT,6,683,2024,1
1.00,0.00,0.00,21052.00,0.00,5Y,Atlas Air Inc.,MIA,MDE,8,819,2024,1
1.00,0.00,0.00,21544.00,0.00,M6,Amerijet International,KIN,MIA,6,622,2024,1
1.00,0.00,0.00,21665.00,0.00,UA,United Air Lines Inc.,HKG,HNL,6,626,2024,1
1.00,0.00,0.00,21733.00,0.00,UA,United Air Lines Inc.,ZRH,IAD,6,626,2024,1
1.00,0.00,0.00,22616.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,IAD,DYU,8,819,2024,1
1.00,0.00,0.00,23073.00,0.00,UA,United Air Lines Inc.,HKG,HNL,6,624,2024,1
1.00,0.00,0.00,23510.00,0.00,5X,United Parcel Service,SDF,YWG,6,622,2024,1
1.00,0.00,0.00,23931.00,0.00,WI,Sky Lease Cargo,LAX,HKG,8,820,2024,1
1.00,0.00,0.00,23931.00,0.00,WI,Sky Lease Cargo,NLU,SBD,8,820,2024,1
1.00,0.00,0.00,24000.00,0.00,M6,Amerijet International,MIA,POS,6,622,2024,1
1.00,0.00,0.00,24095.00,0.00,5X,United Parcel Service,GUM,HKG,8,819,2024,1
1.00,0.00,0.00,25049.00,0.00,CX,Cathay Pacific Airways Ltd.,LAX,HKG,8,821,2024,1
1.00,0.00,0.00,25049.00,0.00,CX,Cathay Pacific Airways Ltd.,YYZ,LAX,8,821,2024,1
1.00,0.00,0.00,26941.00,0.00,W8,Cargojet Airways Ltd.,TOL,MID,6,622,2024,1
1.00,0.00,0.00,27500.00,0.00,M6,Amerijet International,MIA,MDE,6,626,2024,1
1.00,0.00,0.00,27699.00,0.00,UA,United Air Lines Inc.,HKG,ORD,6,887,2024,1
1.00,0.00,0.00,27703.00,0.00,DL,Delta Air Lines Inc.,AMS,JFK,6,339,2024,1
1.00,0.00,0.00,28914.00,0.00,5X,United Parcel Service,YYC,FSD,6,691,2024,1
1.00,0.00,0.00,29300.00,0.00,M6,Amerijet International,MEX,MIA,6,626,2024,1
1.00,0.00,0.00,29760.00,0.00,M6,Amerijet International,MIA,ANU,6,622,2024,1
1.00,0.00,0.00,30343.00,0.00,FX,Federal Express Corporation,YYC,DEN,6,691,2024,1
1.00,0.00,0.00,30461.00,0.00,5X,United Parcel Service,SDF,DUS,8,821,2024,1
1.00,0.00,0.00,30929.00,0.00,M6,Amerijet International,TER,DOV,6,626,2024,1
1.00,0.00,0.00,31000.00,0.00,M6,Amerijet International,MDE,MIA,6,626,2024,1
1.00,0.00,0.00,31313.00,0.00,W8,Cargojet Airways Ltd.,CVG,QRO,6,626,2024,1
1.00,0.00,0.00,31572.00,0.00,5Y,Atlas Air Inc.,ANC,HAN,8,821,2024,1
1.00,0.00,0.00,32308.00,0.00,KAQ,Kalitta Air LLC,ORD,DWC,8,819,2024,1
