DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,SEATS_PER_FLIGHT,AV_PASSENGERS_PER_FLIGHT
4.0,700.0,268.0,0.0,0.0,WN,Southwest Airlines Co.,TPA,HAV,6,614,2024,1,175.0,67.0
4.0,700.0,479.0,0.0,0.0,WN,Southwest Airlines Co.,HAV,TPA,6,614,2024,1,175.0,119.75
4.0,700.0,517.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,AUS,6,838,2024,1,175.0,129.25
4.0,700.0,582.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,MCI,6,838,2024,1,175.0,145.5
4.0,700.0,603.0,18.0,0.0,WN,Southwest Airlines Co.,MCO,AUA,6,838,2024,1,175.0,150.75
4.0,700.0,615.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,CUN,6,614,2024,1,175.0,153.75
4.0,700.0,618.0,0.0,0.0,WN,Southwest Airlines Co.,MCI,MBJ,6,838,2024,1,175.0,154.5
4.0,700.0,630.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,MDW,6,838,2024,1,175.0,157.5
4.0,700.0,646.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,PHX,6,614,2024,1,175.0,161.5
4.0,700.0,657.0,0.0,0.0,WN,Southwest Airlines Co.,AUA,BWI,6,614,2024,1,175.0,164.25
4.0,700.0,676.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,HOU,6,838,2024,1,175.0,169.0
4.0,700.0,687.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,STL,6,614,2024,1,175.0,171.75
5.0,715.0,516.0,0.0,0.0,WN,Southwest Airlines Co.,AUS,SJD,6,612,2024,1,143.0,103.2
5.0,715.0,517.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,AUS,6,612,2024,1,143.0,103.4
5.0,715.0,679.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,BWI,6,612,2024,1,143.0,135.8
5.0,875.0,653.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,PVR,6,838,2024,1,175.0,130.6
5.0,875.0,699.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,LIR,6,614,2024,1,175.0,139.8
5.0,875.0,741.0,595.0,0.0,WN,Southwest Airlines Co.,MCO,AUA,6,614,2024,1,175.0,148.2
